League,Kickoff,Home,Away,Bookmaker,Market,Outcome,Soft Odds,Anchor Odds,Edge %,Recommended Stake,Expected Value
premier_league,2025-11-22T15:00:00Z,Wolves,Crystal Palace,jacks,1x2,draw,3.650,2.210,73.20,50.00,36.60
la_liga,2025-11-22T15:15:00Z,FC Barcelona,Athletic Bilbao,jacks,1x2,draw,4.900,2.630,71.37,45.75,32.65
serie_a,2025-11-23T11:30:00Z,Hellas Verona,Parma,jacks,1x2,draw,3.150,2.000,71.11,50.00,35.56
la_liga,2025-11-22T17:30:00Z,Osasuna,Real Sociedad,jacks,1x2,draw,3.250,2.090,67.56,50.00,33.78
bundesliga,2025-11-22T14:30:00Z,1. FC Heidenheim,Borussia Mönchengladbach,jacks,1x2,draw,3.950,2.430,65.22,50.00,32.61
premier_league,2025-11-22T15:00:00Z,Liverpool,Nottingham Forest,jacks,1x2,draw,4.750,2.630,64.80,43.20,27.99
ligue_1,2025-11-23T16:15:00Z,Brest,Metz,jacks,1x2,draw,3.850,2.360,63.60,50.00,31.80
premier_league,2025-11-22T15:00:00Z,Fulham,Sunderland,jacks,1x2,draw,3.350,2.180,61.66,50.00,30.83
bundesliga,2025-11-21T19:30:00Z,Mainz 05,TSG Hoffenheim,jacks,1x2,draw,3.850,2.430,61.45,50.00,30.73
bundesliga,2025-11-22T14:30:00Z,VfL Wolfsburg,Bayer Leverkusen,jacks,1x2,draw,3.900,2.480,58.19,50.00,29.09
bundesliga,2025-11-22T14:30:00Z,Bayern München,SC Freiburg,jacks,1x2,draw,7.000,3.320,55.89,23.29,13.01
premier_league,2025-11-22T12:30:00Z,Burnley,Chelsea,jacks,1x2,away,1.520,1.515,14.10,50.00,7.05
bundesliga,2025-11-22T14:30:00Z,Borussia Dortmund,VfB Stuttgart,jacks,1x2,home,1.730,1.725,13.52,46.29,6.26
premier_league,2025-11-22T15:00:00Z,Bournemouth,West Ham,jacks,1x2,home,1.600,1.637,10.98,45.75,5.02
la_liga,2025-11-22T20:00:00Z,Villarreal,Mallorca,jacks,1x2,home,1.420,1.463,10.14,50.00,5.07
